Subject	Dutch_name	Stimulus_type	Response_type	label	onset	offset	Real_onset
AH02	bierflesje	picture	silent	!	1,1	1,2051	1900
AH02	bijl	picture+word	aloud	aloud	0	0,6448	800
AH02	bijl	picture+word	aloud	bijl	0,6448	1,0112	1445
AH02	bijl	picture+word	aloud	!	1,0112	1,2056	1811
AH02	bleekselderij	picture+word	aloud	aloud	0	0,5909	800
AH02	bleekselderij	picture+word	aloud	bleekselderij	0,5909	1,1722	1391
AH02	bleekselderij	picture+word	aloud	!	1,1722	1,2053	1972
AH02	boom	picture+word	silent	silent	0	0,2	800
AH02	boom	picture+word	silent	boom	0,2	1,1	1000
AH02	boom	picture+word	silent	!	1,1	1,2055	1900
AH02	bord	picture	aloud	aloud	0	0,344	800
AH02	bord	picture	aloud	bord	0,344	0,7851	1144
AH02	bord	picture	aloud	!	0,7851	1,2048	1585
AH02	bril	picture	aloud	aloud	0	0,4345	800
AH02	bril	picture	aloud	bril	0,4345	0,8466	1235
AH02	bril	picture	aloud	!	0,8466	1,2019	1647
AH02	broccoli	picture+word	silent	silent	0	0,2	800
AH02	broccoli	picture+word	silent	broccoli	0,2	1,1	1000
AH02	broccoli	picture+word	silent	!	1,1	1,2053	1900
AH02	brood	picture	aloud	aloud	0	0,6613	800
AH02	brood	picture	aloud	brood	0,6613	1,1311	1461
AH02	brood	picture	aloud	!	1,1311	1,2067	1931
AH02	brug	picture	silent	silent	0	0,2	800
AH02	brug	picture	silent	brug	0,2	1,1	1000
AH02	brug	picture	silent	!	1,1	1,2046	1900
AH02	cadeau	picture+word	aloud	aloud	0	0,412	800
AH02	cadeau	picture+word	aloud	cadeau	0,412	0,9292	1212
AH02	cadeau	picture+word	aloud	!	0,9292	1,2023	1729
AH02	champagne	picture	aloud	aloud	0	0,4286	800
AH02	champagne	picture	aloud	champagne	0,4286	1,0738	1229
AH02	champagne	picture	aloud	!	1,0738	1,2087	1874
AH02	champignon	picture	aloud	aloud	0	0,2	800
AH02	champignon	picture	aloud	champignon	0,2	1,0288	1000
AH02	champignon	picture	aloud	MISSED	1,0288	1,2023	1829
AH02	courgette	picture	silent	silent	0	0,2	800
AH02	courgette	picture	silent	courgette	0,2	1,1	1000
AH02	courgette	picture	silent	!	1,1	1,2083	1900
AH02	deegroller	picture+word	silent	silent	0	0,2	800
AH02	deegroller	picture+word	silent	deegroller	0,2	1,1	1000
AH02	deegroller	picture+word	silent	!	1,1	1,2065	1900
AH02	dolfijn	picture	silent	silent	0	0,2	800
AH02	dolfijn	picture	silent	dolfijn	0,2	1,1	1000
AH02	dolfijn	picture	silent	!	1,1	1,2012	1900
AH02	doos	picture+word	aloud	aloud	0	0,429	800
AH02	doos	picture+word	aloud	doos	0,429	0,9174	1229
AH02	doos	picture+word	aloud	!	0,9174	1,2077	1717
AH02	douche	picture+word	silent	silent	0	0,2	800
AH02	douche	picture+word	silent	douche	0,2	1,1	1000
AH02	douche	picture+word	silent	!	1,1	1,203	1900
AH02	drumstel	picture+word	aloud	aloud	0	0,4484	800
AH02	drumstel	picture+word	aloud	drumstel	0,4484	1,0747	1248
AH02	drumstel	picture+word	aloud	!	1,0747	1,2089	1875
AH02	ductape	picture+word	aloud	aloud	0	0,5047	800
AH02	ductape	picture+word	aloud	ductape	0,5047	1,0684	1305
AH02	ductape	picture+word	aloud	!	1,0684	1,2018	1868
AH02	ei	picture+word	silent	silent	0	0,2	800
AH02	ei	picture+word	silent	ei	0,2	1,1	1000
AH02	ei	picture+word	silent	!	1,1	1,2072	1900
AH02	elleboog	picture+word	silent	silent	0	0,2	800
AH02	elleboog	picture+word	silent	elleboog	0,2	1,1	1000
AH02	elleboog	picture+word	silent	!	1,1	1,2086	1900
AH02	friet	picture	silent	silent	0	0,2	800
AH02	friet	picture	silent	friet	0,2	1,1	1000
AH02	friet	picture	silent	!	1,1	1,2058	1900
AH02	föhn	picture+word	aloud	aloud	0	0,5138	800
AH02	föhn	picture+word	aloud	föhn	0,5138	0,9723	1314
AH02	föhn	picture+word	aloud	!	0,9723	1,209	1772
AH02	gember	picture+word	silent	silent	0	0,2	800
AH02	gember	picture+word	silent	gember	0,2	1,1	1000
AH02	gember	picture+word	silent	!	1,1	1,2024	1900
AH02	hamer	picture+word	aloud	aloud	0	0,351	800
AH02	hamer	picture+word	aloud	hamer	0,351	0,8642	1151
AH02	hamer	picture+word	aloud	!	0,8642	1,2054	1664
